Categories,amount,Savings,Currency,Category,Item,Amount (INR),Date
,,50,,Savings,Retirement Savings,200,02-07-2024
,,50,,Agriculture,Irrigation System,30,07-07-2024
,,50,,Utilities,Electricity,80,12-07-2024
,,50,,Maintenance,Lawn Care,20,17-07-2024
,,50,,Entertainment,Streaming Services,20,22-07-2024
,,50,,Home Improvement,Furniture,100,27-07-2024
,,50,,Debt Payments,Credit Card Payment,75,01-08-2024
,,50,,Home Improvement,Appliance Purchase,80,08-08-2024
,,50,,Dining Out,Coffee Shops,20,15-08-2024
,,50,,Miscellaneous,Miscellaneous,50,22-08-2024
,,50,,Agriculture,Land Lease,200,29-08-2024
,,50,,Education,Transportation,50,05-09-2024
,,50,,Education,College Savings,150,12-09-2024
,,50,,Healthcare,Dental Checkups,50,19-09-2024
,,50,,Personal Development,Subscription to Educational Platforms,200,26-09-2024
,,50,,Personal Development,Certification Exams,800,03-10-2024
,,50,,Dining Out,Coffee Shops,20,27-06-2024
,,50,,Transportation,Parking,15,28-06-2024
,,50,,Entertainment,Sports Events,60,29-06-2024
,,50,,Debt Payments,Car Loan Payment,120,03-07-2024
,,50,,Miscellaneous,Miscellaneous,50,04-07-2024
,,50,,Agriculture,Harvesting Tools,25,08-07-2024
,,50,,Housing,Mortgage/Rent,1500,09-07-2024
,,50,,Utilities,Water,50,13-07-2024
,,50,,Utilities,Gas,3000,14-07-2024
,,50,,Groceries,Weekly Groceries,300,18-07-2024
,,50,,Dining Out,Restaurants,100,19-07-2024
,,50,,Entertainment,Movies/Concerts,50,23-07-2024
,,50,,Personal Care,Toiletries,30,24-07-2024
,,50,,Savings,Emergency Fund,100,28-07-2024
,,50,,Savings,Long-term Savings,50,29-07-2024
,,50,,Debt Payments,Loan Payments,150,02-08-2024
,,50,,Groceries,Monthly Groceries,200,03-08-2024
,,50,,Dining Out,Takeout,50,04-08-2024
,,50,,Transportation,Public Transportation,20,05-08-2024
,,50,,Savings,Investment,75,09-08-2024
,,50,,Special Occasions,Anniversary,50,10-08-2024
,,50,,Debt Payments,Student Loan Payment,100,11-08-2024
,,50,,Utilities,Cable TV,40,12-08-2024
,,50,,Transportation,Parking,15,16-08-2024
,,50,,Entertainment,Sports Events,60,17-08-2024
,,50,,Personal Care,Health Insurance,150,18-08-2024
,,50,,Home Improvement,Gardening Supplies,25,19-08-2024
,,50,,Agriculture,Seeds and Fertilizers,75,23-08-2024
,,50,,Agriculture,Equipment,40,24-08-2024
,,10,,Agriculture,Irrigation System,30,25-08-2024
,,10,,Agriculture,Harvesting Tools,25,26-08-2024
,,10,,Agriculture,Insurance for Crops,50,30-08-2024
,,10,,Agriculture,Training and Workshops,80,31-08-2024
,,10,,Agriculture,Storage Facilities,30,01-09-2024
,,10,,Education,Tuition Fees,500,02-09-2024
,,10,,Education,Extracurricular Activities,30,06-09-2024
,,10,,Education,Uniforms,40,07-09-2024
,,10,,Education,School Trips,25,08-09-2024
,,10,,Education,Lunch/Snacks,30,09-09-2024
,,10,,Healthcare,Health Checkups,80,13-09-2024
,,10,,Healthcare,Prescription Medications,50,14-09-2024
,,10,,Healthcare,Health Insurance Premiums,120,15-09-2024
,,10,,Healthcare,Fitness Classes,40,16-09-2024
,,10,,Healthcare,Medical Supplies,20,20-09-2024
,,10,,Healthcare,Alternative Therapies,60,21-09-2024
,,10,,Healthcare,Emergency Fund for Medical Expenses,100,22-09-2024
,,10,,Personal Development,Online Courses,75,23-09-2024
,,10,,Personal Development,Networking Events,400,27-09-2024
,,10,,Personal Development,Professional Memberships,600,28-09-2024
,,10,,Personal Development,Coaching/Mentorship,1000,29-09-2024
,,10,,Personal Development,Conferences,750,30-09-2024
,,10,,Personal Development,Travel for Educational Purposes,1500,04-10-2024
,,10,,,Study Abroad Program,25000,05-10-2024
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
,,10,,,,,
